FIPS,County,State,Median Home Value,% of National Median,Price Category
56023,"Lincoln County","Wyoming",334500,194.1,Expensive
06091,"Sierra County","California",334100,193.9,Expensive
44003,"Kent County","Rhode Island",333900,193.8,Expensive
50001,"Addison County","Vermont",333700,193.7,Expensive
51087,"Henrico County","Virginia",333600,193.6,Expensive
51093,"Isle of Wight County","Virginia",333600,193.6,Expensive
12035,"Flagler County","Florida",333400,193.5,Expensive
19049,"Dallas County","Iowa",333400,193.5,Expensive
12057,"Hillsborough County","Florida",333300,193.4,Expensive
51133,"Northumberland County","Virginia",333100,193.3,Expensive
27171,"Wright County","Minnesota",332800,193.2,Expensive
27141,"Sherburne County","Minnesota",332700,193.1,Expensive
41065,"Wasco County","Oregon",332500,193.0,Expensive
33017,"Strafford County","New Hampshire",332400,192.9,Expensive
13089,"DeKalb County","Georgia",331400,192.3,Expensive
51113,"Madison County","Virginia",331400,192.3,Expensive
26093,"Livingston County","Michigan",331100,192.2,Expensive
02063,"Chugach Census Area","Alaska",330900,192.0,Expensive
33013,"Merrimack County","New Hampshire",330600,191.9,Expensive
24005,"Baltimore County","Maryland",330000,191.5,Expensive
10003,"New Castle County","Delaware",329800,191.4,Expensive
51800,"Suffolk city","Virginia",329600,191.3,Expensive
06105,"Trinity County","California",329000,190.9,Expensive
09170,"South Central Connecticut Planning Region","Connecticut",328300,190.5,Expensive
51760,"Richmond city","Virginia",328100,190.4,Expensive
06063,"Plumas County","California",327400,190.0,Expensive
16003,"Adams County","Idaho",327300,190.0,Expensive
46033,"Custer County","South Dakota",327200,189.9,Expensive
16019,"Bonneville County","Idaho",327000,189.8,Expensive
34005,"Burlington County","New Jersey",326700,189.6,Expensive
17097,"Lake County","Illinois",326600,189.6,Expensive
27025,"Chisago County","Minnesota",326600,189.6,Expensive
12071,"Lee County","Florida",326300,189.4,Expensive
51840,"Winchester city","Virginia",325900,189.1,Expensive
27003,"Anoka County","Minnesota",325800,189.1,Expensive
56021,"Laramie County","Wyoming",324900,188.6,Expensive
12091,"Okaloosa County","Florida",324800,188.5,Expensive
36091,"Saratoga County","New York",324800,188.5,Expensive
54037,"Jefferson County","West Virginia",324500,188.3,Expensive
30089,"Sanders County","Montana",323800,187.9,Expensive
46083,"Lincoln County","South Dakota",323500,187.8,Expensive
53075,"Whitman County","Washington",323300,187.6,Expensive
13211,"Morgan County","Georgia",323100,187.5,Expensive
34041,"Warren County","New Jersey",323100,187.5,Expensive
45091,"York County","South Carolina",322700,187.3,Expensive
38007,"Billings County","North Dakota",322500,187.2,Expensive
48299,"Llano County","Texas",322300,187.1,Expensive
56001,"Albany County","Wyoming",322100,186.9,Expensive
13077,"Coweta County","Georgia",321900,186.8,Expensive
37189,"Watauga County","North Carolina",321500,186.6,Expensive
26125,"Oakland County","Michigan",320400,186.0,Expensive
39165,"Warren County","Ohio",319700,185.5,Expensive
06015,"Del Norte County","California",319600,185.5,Expensive
02170,"Matanuska-Susitna Borough","Alaska",319200,185.3,Expensive
12103,"Pinellas County","Florida",319000,185.1,Expensive
02100,"Haines Borough","Alaska",318900,185.1,Expensive
37025,"Cabarrus County","North Carolina",318600,184.9,Expensive
08029,"Delta County","Colorado",318000,184.6,Expensive
37089,"Henderson County","North Carolina",317800,184.4,Expensive
12097,"Osceola County","Florida",317600,184.3,Expensive
29165,"Platte County","Missouri",317600,184.3,Expensive
30111,"Yellowstone County","Montana",317600,184.3,Expensive
48339,"Montgomery County","Texas",317500,184.3,Expensive
13029,"Bryan County","Georgia",317100,184.0,Expensive
06033,"Lake County","California",316800,183.9,Expensive
55131,"Washington County","Wisconsin",316200,183.5,Expensive
47047,"Fayette County","Tennessee",316000,183.4,Expensive
51187,"Warren County","Virginia",315800,183.3,Expensive
06103,"Tehama County","California",315600,183.2,Expensive
