FIPS,State,State Code,County,Metro Area,Year,Median Rent,Efficiency,1BR,2BR,3BR,4BR,Entity ID
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502178972"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501780230"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501780510"
"25000","Massachusetts","MA","Suffolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502581005"
"25000","Massachusetts","MA","Middlesex County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2501781035"
"25000","Massachusetts","MA","Norfolk County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"2502182315"
"33000","New Hampshire","NH","Rockingham County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"3301568260"
"33000","New Hampshire","NH","Rockingham County","Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",2023,2635,2025,2198,2635,3207,3540,"3301571140"
"25000","Massachusetts","MA","Nantucket County","Nantucket County, MA",2023,2618,1750,2009,2618,3219,3580,"2501943790"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900118850"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900133620"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900150580"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900156060"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900173070"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900183430"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900183500"
"09000","Connecticut","CT","Fairfield County","Stamford-Norwalk, CT HUD Metro FMR Area",2023,2563,1735,2127,2563,3160,3443,"0900186370"
"06000","California","CA","Orange County","Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",2023,2539,1939,2113,2539,3448,4032,"0605999999"
"36000","New York","NY","Bronx County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3600599999"
"36000","New York","NY","Kings County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3604799999"
"36000","New York","NY","New York County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3606199999"
"36000","New York","NY","Putnam County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3607999999"
"36000","New York","NY","Queens County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3608199999"
"36000","New York","NY","Richmond County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3608599999"
"36000","New York","NY","Rockland County","New York, NY HUD Metro FMR Area",2023,2451,2123,2170,2451,3078,3316,"3608799999"
"06000","California","CA","Ventura County","Oxnard-Thousand Oaks-Ventura, CA MSA",2023,2425,1703,2001,2425,3368,3962,"0611199999"
"06000","California","CA","Alameda County","Oakland-Fremont, CA HUD Metro FMR Area",2023,2405,1658,1969,2405,3144,3706,"0600199999"
"06000","California","CA","Contra Costa County","Oakland-Fremont, CA HUD Metro FMR Area",2023,2405,1658,1969,2405,3144,3706,"0601399999"
"06000","California","CA","Napa County","Napa, CA MSA",2023,2388,1597,1814,2388,3288,3332,"0605599999"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500701585"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500713800"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500721150"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500726325"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500750390"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500769940"
"25000","Massachusetts","MA","Dukes County","Dukes County, MA",2023,2325,1778,2058,2325,3016,3180,"2500778235"
"36000","New York","NY","Nassau County","Nassau-Suffolk, NY HUD Metro FMR Area",2023,2297,1536,1914,2297,2952,3245,"3605999999"
"36000","New York","NY","Suffolk County","Nassau-Suffolk, NY HUD Metro FMR Area",2023,2297,1536,1914,2297,2952,3245,"3610399999"
"06000","California","CA","Sonoma County","Santa Rosa, CA MSA",2023,2252,1525,1711,2252,3101,3356,"0609799999"
"06000","California","CA","Los Angeles County","Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",2023,2222,1534,1747,2222,2888,3170,"0603799999"
"53000","Washington","WA","King County","Seattle-Bellevue, WA HUD Metro FMR Area",2023,2199,1829,1881,2199,2953,3446,"5303399999"
"53000","Washington","WA","Snohomish County","Seattle-Bellevue, WA HUD Metro FMR Area",2023,2199,1829,1881,2199,2953,3446,"5306199999"
"25000","Massachusetts","MA","Bristol County","Easton-Raynham, MA HUD Metro FMR Area",2023,2163,1632,1643,2163,2633,3259,"2500520100"
"25000","Massachusetts","MA","Bristol County","Easton-Raynham, MA HUD Metro FMR Area",2023,2163,1632,1643,2163,2633,3259,"2500556060"
"06000","California","CA","San Benito County","San Benito County, CA HUD Metro FMR Area",2023,2155,1441,1637,2155,3063,3671,"0606999999"
"15000","Hawaii","HI","Kauai County","Kauai County, HI",2023,2148,1436,1632,2148,2883,3509,"1500799999"
"06000","California","CA","San Luis Obispo County","San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",2023,2055,1394,1561,2055,2834,3155,"0607999999"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500103690"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500107175"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500107980"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500112995"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500116775"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500119295"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500123105"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500129020"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500139100"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500151440"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500155500"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500159735"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500170605"
"25000","Massachusetts","MA","Barnstable County","Barnstable Town, MA MSA",2023,2044,1401,1553,2044,2501,2781,"2500182525"
"08000","Colorado","CO","Eagle County","Eagle County, CO",2023,2030,1357,1542,2030,2490,2727,"0803799999"
"36000","New York","NY","Westchester County","Westchester County, NY Statutory Exception Area",2023,2029,1436,1669,2029,2515,2782,"3611999999"
"12000","Florida","FL","Monroe County","Monroe County, FL",2023,2023,1497,1597,2023,2569,3433,"1208799999"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900104720"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900108980"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900118500"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900150860"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900152980"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900163480"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900163970"
"09000","Connecticut","CT","Fairfield County","Danbury, CT HUD Metro FMR Area",2023,2019,1350,1622,2019,2573,2744,"0900168310"
"15000","Hawaii","HI","Maui County","Kahului-Wailuku-Lahaina, HI MSA",2023,1986,1532,1606,1986,2731,2944,"1500999999"
"44000","Rhode Island","RI","Newport County","Newport-Middleton-Portsmouth, RI HUD Metro FMR Area",2023,1976,1495,1526,1976,2649,3271,"4400545460"
"44000","Rhode Island","RI","Newport County","Newport-Middleton-Portsmouth, RI HUD Metro FMR Area",2023,1976,1495,1526,1976,2649,3271,"4400549960"
